full_title,date
"#FreehReport: Paterno, ex-AD Curley decided not to report 2001 Sandusky abuse allegations.",2012
#FreehReport: Prepared statement on Penn State abuse scandal.,2012
"#FreehReport: Penn State leaders showed ""total disregard"" for welfare of abuse victims.",2012
"95 dead after fuel tanker spill, fire in #Nigeria.",2012
6 killed by #avalanche in French Alps.,2012
FBI interviews among evidence to be released in George #Zimmerman case.,2012
Penn State to release findings of review into how it handled allegations of child sex abuse.,2012
"#Paterno kin confirm he wrote letter before death saying #Sandusky case doesn't ""tarnish"" Penn State.",2012
"Lawsuit filed against FAMU, bus company, driver of bus where hazing happened.",2012
Judge in #Mississippi orders extension of temporary order to allow state's only #abortion clinic to stay open.,2012
"House Republicans vote to repeal #health care law, though repeal has no chance of winning approval in Senate.",2012
"Turbulence injures passengers, crew as flight approaches Miami. #aviation",2012
"The president of Florida A&amp;M University, James H. Ammons, has resigned, his spokeswoman said. #FAMU",2012
"#Syria envoy to Iraq defects, opposition says.",2012
"Dozens hurt as police, anti-austerity protesters clash in #Spain.",2012
Son of one of the world's wealthiest men arrested after wife found dead in London.,2012
"#Thailand pardons Thai-born American jailed for insulting the monarchy, his lawyer says.",2012
Sheriff: Delayed e-mail from ex-banker points to suicide in court; cyanide bottle found in car.,2012
"Socialite, songwriter Denise Rich renounces U.S. citizenship; is she off the tax hook?",2012
"Deaths of more than 60 children in #Cambodia to be blamed on combination of pathogens, two doctors say.",2012
NL defeats AL 8-0; first #All-Star game shutout since NL won 6-0 in 1996,2012
Police: Mom who left mentally disabled daughter at bar can't be charged with crime,2012
NTSB: Operator knew of pipeline problems years before Michigan oil spill,2012
Episcopal Church largest U.S. denomination to sanction same-sex relationships,2012
Egyptian power struggle continues: Court halts president's decision to call parliament back into session.,2012
Parents charged after baby found in carry-on luggage.,2012
#Egypt parliament convenes briefly in gesture of defiance against military rulers.,2012
Congolese warlord Thomas #Lubanga sentenced for using child soldiers.,2012
#Eurozone ministers agree to initial 30 billion euro bailout for ailing Spanish banks.,2012
"Forecasters: Emilia intensifies to ""major” Category 3 #hurricane in Pacific Ocean.",2012
House panel to investigate Rep. Berkley of Nevada over whether she had conflict of interest,2012
Nine U.S. border patrol stations to close,2012
Judge throws out Lance Armstrong's lawsuit against anti-doping agency,2012
Feds unveil indictment against 5 men in agent's killing that led to Fast and Furious probe,2012
"Dow drops 36 points, Nasdaq down 0.2% as investors brace for bumpy earnings season",2012
Last 12 months hottest ever in U.S. recorded history.,2012
"Tom Cruise and Katie Holmes have signed divorce settlement, her attorney says.",2012
"Obama calls on Congress to pass an extension of tax cuts for those making less than $250,000.",2012
#Lance_Armstrong sues doping agency to drop charges.,2012
Official: Palestinian leader gives OK to exhume remains of Yasser Arafat.,2012
"Emilia to become major #hurricane in Pacific, forecasters say.",2012
President Obama to call for Bush tax cut extensions for lower-income Americans,2012
How a young reporter once made Ernest Borgnine cry,2012
A Georgia banker who went missing in June is being sought by federal officials for allegedly embezzling millions.,2012
"Ernest Borgnine, who won an Academy Award for his portrayal of a butcher in 1955's ""Marty,"" has died, his manager said.",2012
"The six NATO troops killed by an IED on Sunday in Afghanistan were all Americans, a U.S. official said.",2012
Colorado governor lifts statewide fire ban.,2012
Six NATO troops killed in IED attack in Afghanistan.,2012
"Roger Federer of Switzerland wins his 7th Wimbledon championship, defeating Britain’s Andy Murray in four sets.",2012
Egypt's new president calls dissolved parliament back into session.,2012
Kofi Annan arrives in Damascus for talks with Syrian president.,2012
Election results from Libya expected to be announced by the end of next week.,2012
Ten heat-related deaths reported in Maryland.,2012
"Police in Arizona arrested 20, dismantled a drug trafficking cell associated with Mexico's Sinaloa Cartel.",2012
Serena Williams wins 5th Wimbledon title.,2012
Death toll tops 100 in Russia flooding.,2012
"Man, 73, gored in leg at running of bulls in Pamplona, Spain.",2012
"More than 1,400 pounds of cocaine (street value $98 million) seized in Hong Kong.",2012
Flooding in southern Russia kills at least 53 people.,2012
#Hurricane Daniel forms in Pacific; winds at 75 mph.,2012
Reports: Justin #Bieber cited for speeding after freeway chase with paparazzi.,2012
California Senate OKs initial funding for nation’s first high-speed rail system,2012
"U.S. Secretary of State Hillary Clinton in Kabul on unannounced visit, will meet with President Karzai",2012
"Tweet Suspected U.S. drone kills 20 people in North Waziristan, on Pakistan-Afghanistan border, Pakistani official says",2012
President #Obama signs transportation funding and student loan bill passed by Congress last week,2012
Archdiocese of Philadelphia bars two more priests amid allegations of child sex abuse,2012
“Happy Days” actors settle lawsuit with CBS over merchandising payments,2012
George #Zimmerman released from jail day after Florida judge set $1 million bond,2012
Andy Murray is first British man to reach a Wimbledon singles final in 74 years.,2012
"Andy Griffith died of heart attack, death certificate says.",2012
"Police chief sought band's suspension before #FAMU hazing death, document says.",2012
"7 men arrested in anti-terror operation, UK police say.",2012
2 dead in Great Smoky Mountains National Park storm.,2012
"U.S. employers created 80,000 jobs in June; unemployment rate unchanged at 8.2%.",2012
China lifts ban on lesbians giving blood.,2012
"Clinton slams Russia, China over their lack of support for action on #Syria.",2012
Top #Syrian general reportedly defects to Turkey.,2012
"Ex-dictators found guilty of stealing babies during Argentina's ""dirty war""",2012
"#Zimmerman does ""not have anywhere near"" assets to post bail, attorney says",2012
"#Zimmerman may have been planning to flee country, judge says; bond set at $1M",2012
Costa Concordia captain freed from house arrest in Italy.,2012
#WikiLeaks begins releasing 2.4 million #Syria e-mails.,2012
Florida judge sets $1 million bond for George #Zimmerman in Trayvon Martin case.,2012
"""Series of errors"" by pilots contributed to  2009 Air France crash, officials say.",2012
#WikiLeaks releases 2.4 million #Syria e-mails.,2012
#Japan attributes nuclear crisis to failures in Japanese culture.,2012
Officials to re-count 54.5% of ballots in Mexico's presidential election,2012
Police in Montreal identify severed head as that of student slain in May,2012
Arafat's widow wants his body exhumed after his personal effects test radioactive,2012
Female F1 driver De Villota loses eye after test crash.,2012
"Joey ""Jaws"" Chestnut wins annual hot dog eating contest with a total of 68.",2012
"Sonya ""The Black Widow"" Thomas eats record 45 hotdogs, wins annual women's contest.",2012
Double-amputee Pistorius earns #Olympic sprint place.,2012
Suspect arrested in alleged plot against former Spanish leader.,2012
Former #Barclays CEO defends bank over interest rate scandal.,2012
"#India floods leave 95 dead, millions homeless.",2012
"#Arafat belongings test high for radioactivity, scientist says.",2012
Scientists almost certain they have proven existence of #Higgs boson.,2012
"95 dead, 2 million homeless in #India flooding.",2012
Unruly JetBlue pilot found not guilty by reason of insanity,2012
Former commerce secretary won't face charges stemming from wrecks last month,2012
Lopez Obrador demands recount of ballots in Mexico's presidential election,2012
At-home rapid HIV test gets FDA approval,2012
CNN poll: Public's optimism on economy growing,2012
"Police raid home, offices of former French President Sarkozy in campaign finance probe",2012
"Pakistan re-opening #Afghanistan supply route, Sec. of State Clinton says.",2012
"Actor Andy #Griffith dies at 86, N.C. law enforcement source confirms.",2012
Syrian leader says he regrets downing of Turkish warplane.,2012
"Scientists say they're closer to proving  existence of Higgs boson or ""God particle.""",2012
"#Torture systematic in #Syria, Human Rights Watch report says.",2012
#Paterno family attorney wants all #Penn_State e-mails in #Sandusky case released,2012
Runner-up refuses to concede Mexico's presidential election to Peña Nieto,2012
F/A-18 crash in Virginia Beach in April blamed on double engine failure,2012
Air Force grounds all firefighting-equipped C-130s after crash,2012
,2012
Michael Phelps withdraws from London Olympics 200m freestyle race.,2012
4 international court staff members freed from detention in #Libya.,2012
Millions still without power amid record heat wave.,2012
"Abducted aid workers freed in Kenya, official says.",2012
U.S. sprinters to hold runoff Monday after tying for Olympic spot,2012
Aimee Copeland expected to leave the hospital today,2012
"Enrique Peña Nieto is the projected winner of Mexico's presidential election, officials announced",2012
Mississippi's only abortion clinic will stay open -- for now.,2012
Vote-counting begins in Mexican elections.,2012
Tiger Woods wins 74th PGA Tour event to pass Jack Nicklaus on all-time wins list.,2012
Spain defeats Italy 4-0 in the #Euro2012 final.,2012
#Turkey scrambles jets as #Syria choppers fly near border.,2012
Mexicans head to polls to pick new president.,2012
"Explosions at 2 churches in #Kenya kill 16, wound 40, Red Cross says.",2012
High Park Fire 100% contained; Waldo Canyon Fire near Colorado Springs 45% contained,2012
"Former Israeli Prime Minister Yitzhak Shamir died Saturday, the Israeli prime minister's office said.",2012
World powers forge agreement for a transition to end violence in Syria.,2012
"8 people were killed by downed trees and power lines in Friday night storms in Midwest, Atlantic Seaboard.",2012
Stolen Salvador Dali painting returned to New York gallery.,2012
Millions without power in nine states. Forecast calls for more extreme heat.,2012
#Egypt swears in first democratically elected president.,2012
"Dallas NAACP seeks end to Texas Lottery, saying it drains cash of low-income players",2012
"Students who bullied bus monitor suspended from school, given community service",2012
U.S. Anti-Doping Agency files charges against #Lance_Armstrong,2012
Deputy attorney general says he will not prosecute AG Eric Holder for contempt,2012
